Date,Corn,Chicken
Jan-2005,5.01,29.79
Feb-2005,4.96,34.41
Mar-2005,4.97,35.55
Apr-2005,4.83,36.91
May-2005,5.02,38.03
Jun-2005,4.81,37.51
Jul-2005,5.05,36.9
Aug-2005,4.89,37.91
Sep-2005,4.73,37.7
Oct-2005,4.74,37.35
Nov-2005,4.73,34.93
Dec-2005,4.74,33.64
Jan-2006,4.82,35.06
Feb-2006,4.78,34.26
Mar-2006,4.7,31.62
Apr-2006,5.18,33.68
May-2006,5.53,33.87
Jun-2006,5.72,31.68
Jul-2006,5.53,29.18
Aug-2006,5.34,29.29
Sep-2006,5.15,29.03
Oct-2006,5.39,28.67
Nov-2006,5.33,30.25
Dec-2006,5.83,32.05
Jan-2007,6.53,31.07
Feb-2007,7.02,28.84
Mar-2007,7.1,30.68
Apr-2007,7.04,31.93
May-2007,6.81,32.36
Jun-2007,6.63,33.63
Jul-2007,6.16,36.01
Aug-2007,5.99,36.4
Sep-2007,6.66,36.52
Oct-2007,7.28,35.17
Nov-2007,7.23,35.64
Dec-2007,7.26,35.59
Jan-2008,7.48,35.19
Feb-2008,7.69,36.51
Mar-2008,8.38,36.9
Apr-2008,8.58,38.29
May-2008,8.31,38.65
Jun-2008,8.16,37.52
Jul-2008,9.85,36.56
Aug-2008,8.58,37.61
Sep-2008,7.67,38.52
Oct-2008,6.69,36.98
Nov-2008,6.69,36.96
Dec-2008,6.13,37.08
Jan-2009,6.51,35.83
Feb-2009,6.45,36.91
Mar-2009,6.26,32.84
Apr-2009,6.94,35.49
May-2009,6.2,37.12
Jun-2009,6.51,38.99
Jul-2009,6.42,39.31
Aug-2009,5.19,39.19
Sep-2009,5.09,39.29
Oct-2009,5.18,39.46
Nov-2009,6.08,40.18
Dec-2009,6.83,41.01
Jan-2010,6.93,43.06
Feb-2010,7.17,44.22
Mar-2010,7.61,41.9
Apr-2010,8.16,40.61
May-2010,8.32,42.88
Jun-2010,8.47,45.31
Jul-2010,8.74,44.94
Aug-2010,8.34,42.85
Sep-2010,8.09,42.13
Oct-2010,7.89,41.71
Nov-2010,7.94,41.31
Dec-2010,8,42.48
Jan-2011,8.21,44.6
Feb-2011,8.38,46.15
Mar-2011,8.36,47.11
Apr-2011,8.87,48.69
May-2011,8.62,50.74
Jun-2011,8.13,49.67
Jul-2011,8.02,47.34
Aug-2011,7.22,46.77
Sep-2011,7.43,46.31
Oct-2011,7.76,45.19
Nov-2011,8.39,44.49
Dec-2011,8.54,44.61
Jan-2012,8.61,45.27
Feb-2012,8.67,43.3
Mar-2012,8.48,35.55
Apr-2012,9.18,40.96
May-2012,8.96,43.5
Jun-2012,9.09,43
Jul-2012,9.24,42.07
Aug-2012,9.95,41.43
Sep-2012,9.25,39.54
Oct-2012,8.94,38.5
Nov-2012,9.46,41.76
Dec-2012,8.75,43.52
Jan-2013,8.44,43.71
Feb-2013,8.84,42.2
Mar-2013,8.99,42
Apr-2013,8.96,43.92
May-2013,8.62,44.29
Jun-2013,8.18,43.94
Jul-2013,8.31,44.05
Aug-2013,7.59,43.94
Sep-2013,6.92,43.63
Oct-2013,6.76,43.37
Nov-2013,6.92,42.05
Dec-2013,6.23,41.85
Jan-2014,6.11,43.37
Feb-2014,6.68,43.46
Mar-2014,7.24,42.14
Apr-2014,7.18,41.96
May-2014,7.36,42.34
Jun-2014,7.54,42.68
Jul-2014,7.7,42.26
Aug-2014,7.87,43.44
Sep-2014,6.75,43.57
Oct-2014,6.78,42.43
Nov-2014,7.61,40.48
Dec-2014,8.07,39.96
Jan-2015,8.59,39.45
Feb-2015,8.75,38.62
Mar-2015,8.18,37.97
Apr-2015,8.11,37.22
May-2015,8.33,39.02
Jun-2015,8.33,39.04
Jul-2015,8,39.44
Aug-2015,8.15,39.74
Sep-2015,7.59,40.78
Oct-2015,7.41,36.01
Nov-2015,7.33,35.76
Dec-2015,7.49,37.2
Jan-2016,8.16,37.63
Feb-2016,7.95,37.87
Mar-2016,7.56,38.14
Apr-2016,7.66,38.36
May-2016,7.61,39.1
Jun-2016,7.84,37.67
Jul-2016,8.1,37.34
Aug-2016,7.7,38.39
Sep-2016,6.94,38.19
Oct-2016,6.037999879,34.9439993
Nov-2016,6.065999848,35.23249912
Dec-2016,6.172499846,35.46749911
Jan-2017,6.257999875,35.1179993
Feb-2017,6.297499843,35.26499912
Mar-2017,6.447499839,36.0124991
Apr-2017,5.969999851,37.59499906
May-2017,6.00199988,39.44599921
Jun-2017,6.39999968,38.91749903
Jul-2017,5.539999889,38.54399923
Aug-2017,6.207499845,39.35499902
Sep-2017,5.99749985,39.40749901
Oct-2017,5.859999883,36.08999928
Nov-2017,6.175,35.20499912
Dec-2017,6.92,36.46749909
Jan-2018,8.064999798,36.79249908
Feb-2018,8.239999794,36.20749909
Mar-2018,8.297999834,34.00799932
